交易日期,收支方向,实收金额,部门,项目,客户名称,供应商名称,订单号,付款方式,发票状态,备注
2026-01-03,收入,128000,销售一部,企业服务,上海星河科技有限公司,,SO-202601-001,银行转账,已开票,年度服务费
2026-01-05,支出,23000,行政部,办公室租赁,,上海浦江物业有限公司,PO-202601-001,银行转账,已收票,1月租金
2026-01-10,收入,86000,销售二部,软件订阅,杭州云杉网络有限公司,,SO-202601-002,支付宝,未开票,订阅收入
2026-01-18,支出,9800,市场部,投放推广,,巨量引擎代理商,PO-202601-002,微信支付,已收票,信息流广告
2026-02-02,收入,54000,销售一部,咨询服务,南京万象制造有限公司,,SO-202602-001,银行转账,已开票,咨询项目首款
2026-02-09,支出,12600,研发部,云服务,,阿里云计算有限公司,PO-202602-001,企业网银,未收票,服务器费用
2026-02-11,收入,0,销售二部,软件订阅,苏州启明贸易有限公司,,SO-202602-002,银行转账,未开票,金额待确认
,支出,5600,财务部,审计服务,,立信会计师事务所,PO-202602-002,银行转账,已收票,日期缺失
2026-03-01,收入,3200000,销售一部,大客户项目,北京北辰集团,,SO-202603-001,银行转账,已开票,大额项目款
2026-03-01,收入,3200000,销售一部,大客户项目,北京北辰集团,,SO-202603-001,银行转账,已开票,重复订单号
2026-03-08,支出,-1200,行政部,办公用品,,京东企业购,PO-202603-001,信用卡,已收票,负金额异常
2026-03-12,未知,45000,销售三部,渠道合作,成都远山信息科技有限公司,,SO-202603-002,银行转账,未开票,方向异常
